No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,,,,,,,,time 2,time 1,delay 1,delay 2,jiter 
1,0,202.70.54.17,172.20.10.7,HTTP,1414,Continuation,,,,,,,,,,,,,,,0.00013,0,0.00013,0.000541,0.000411
2,0.00013,172.20.10.7,202.70.54.17,TCP,66,49478  >  80 [ACK] Seq=1 Ack=4294965937 Win=260 Len=0 SLE=1 SRE=1361,,,,,,,,,,,,,,,0.000671,0.00013,0.000541,9.00E-05,0.000451
3,0.000671,202.70.54.17,172.20.10.7,TCP,1414,[TCP Out-Of-Order] 80  >  49478 [ACK] Seq=4294965937 Ack=1 Win=947 Len=1360,,,,,,,,,,,,,,,0.000761,0.000671,9.00E-05,0.004691,0.004601
4,0.000761,172.20.10.7,202.70.54.17,TCP,54,49478  >  80 [ACK] Seq=1 Ack=1361 Win=260 Len=0,,,,,,,,,,,,,,,0.005452,0.000761,0.004691,0.000102,0.004589
5,0.005452,202.70.54.17,172.20.10.7,HTTP,1414,[TCP Previous segment not captured] Continuation,,,,,,,,,,,,,,,0.005554,0.005452,0.000102,0.008329,0.008227
6,0.005554,172.20.10.7,202.70.54.17,TCP,66,[TCP Dup ACK 4#1] 49478  >  80 [ACK] Seq=1 Ack=1361 Win=260 Len=0 SLE=2721 SRE=4081,,,,,,,,,,,,,,,0.013883,0.005554,0.008329,0.000121,0.008208
7,0.013883,202.70.54.17,172.20.10.7,HTTP,1414,Continuation,,,,,,,,,,,,,,,0.014004,0.013883,0.000121,0.001189,0.001068
8,0.014004,172.20.10.7,202.70.54.17,TCP,66,[TCP Dup ACK 4#2] 49478  >  80 [ACK] Seq=1 Ack=1361 Win=260 Len=0 SLE=2721 SRE=5441,,,,,,,,,,,,,,,0.015193,0.014004,0.001189,0.000085,0.001104
9,0.015193,202.70.54.17,172.20.10.7,HTTP,1414,Continuation,,,,,,,,,,,,,,,0.015278,0.015193,0.000085,0.013188,0.013103
10,0.015278,172.20.10.7,202.70.54.17,TCP,66,[TCP Dup ACK 4#3] 49478  >  80 [ACK] Seq=1 Ack=1361 Win=260 Len=0 SLE=2721 SRE=6801,,,,,,,,,,,,,,,0.028466,0.015278,0.013188,0,0.013188
11,0.028466,202.70.54.17,172.20.10.7,HTTP,1414,[TCP Fast Retransmission] Continuation,,,,,,,,,,,,,,,0.028466,0.028466,0,0.000177,0.000177
12,0.028466,202.70.54.17,172.20.10.7,HTTP,462,[TCP Previous segment not captured] Continuation,,,,,,,,,,,,,,,0.028643,0.028466,0.000177,0.000163,0.000014
13,0.028643,172.20.10.7,202.70.54.17,TCP,54,49478  >  80 [ACK] Seq=1 Ack=6801 Win=260 Len=0,,,,,,,,,,,,,,,0.028806,0.028643,0.000163,0.10058,0.100417
14,0.028806,172.20.10.7,202.70.54.17,TCP,66,[TCP Dup ACK 13#1] 49478  >  80 [ACK] Seq=1 Ack=6801 Win=260 Len=0 SLE=16321 SRE=16729,,,,,,,,,,,,,,,0.129386,0.028806,0.10058,0.698302,0.597722
15,0.129386,172.20.10.7,74.125.130.138,TCP,54,49477  >  80 [ACK] Seq=1 Ack=1 Win=256 Len=0,,,,,,,,,,,,,,,0.827688,0.129386,0.698302,0.000132,0.69817
16,0.827688,202.70.54.17,172.20.10.7,TCP,1414,[TCP Retransmission] 80  >  49478 [ACK] Seq=6801 Ack=1 Win=947 Len=1360,,,,,,,,,,,,,,,0.82782,0.827688,0.000132,0.056256,0.056124
17,0.82782,172.20.10.7,202.70.54.17,TCP,66,49478  >  80 [ACK] Seq=1 Ack=8161 Win=260 Len=0 SLE=16321 SRE=16729,,,,,,,,,,,,,,,0.884076,0.82782,0.056256,0.000135,0.056121
18,0.884076,202.70.54.17,172.20.10.7,TCP,1414,[TCP Retransmission] 80  >  49478 [ACK] Seq=8161 Ack=1 Win=947 Len=1360,,,,,,,,,,,,,,,0.884211,0.884076,0.000135,0.000365,0.00023
19,0.884211,172.20.10.7,202.70.54.17,TCP,66,49478  >  80 [ACK] Seq=1 Ack=9521 Win=260 Len=0 SLE=16321 SRE=16729,,,,,,,,,,,,,,,0.884576,0.884211,0.000365,,
20,0.884576,202.70.54.17,172.20.10.7,TCP,1414,[TCP Retransmission] 80  >  49478 [ACK] Seq=10881 Ack=1 Win=947 Len=1360,,,,,,,,,,,,,,,,to dilay,0.884576,to jiter ,1.563925
21,0.884636,172.20.10.7,202.70.54.17,TCP,74,[TCP Dup ACK 19#1] 49478  >  80 [ACK] Seq=1 Ack=9521 Win=260 Len=0 SLE=10881 SRE=12241 SLE=16321 SRE=16729,,,,,,,,,,,,,,,,rata dilay,3.83E-05,rata jiter ,6.76848E-05
22,0.884794,202.70.54.17,172.20.10.7,TCP,1414,[TCP Retransmission] 80  >  49478 [ACK] Seq=9521 Ack=1 Win=947 Len=1360,,,,,,,,,,,,,,,,,,,
23,0.88485,172.20.10.7,202.70.54.17,TCP,66,49478  >  80 [ACK] Seq=1 Ack=12241 Win=260 Len=0 SLE=16321 SRE=16729,,,,,,,,(,,,,,,,,,,,
24,0.885421,202.70.54.17,172.20.10.7,TCP,1414,[TCP Retransmission] 80  >  49478 [ACK] Seq=12241 Ack=1 Win=947 Len=1360,,,,,,,,,,,,,,,,,,,
25,0.885496,172.20.10.7,202.70.54.17,TCP,66,49478  >  80 [ACK] Seq=1 Ack=13601 Win=260 Len=0 SLE=16321 SRE=16729,,,,,,,,,,,,,,,,,,,
27,2.438572,202.70.54.17,172.20.10.7,TCP,1414,[TCP Retransmission] 80  >  49478 [ACK] Seq=13601 Ack=1 Win=947 Len=1360,,,,,,,,,,,,,,,,,,,
28,2.43871,172.20.10.7,202.70.54.17,TCP,66,49478  >  80 [ACK] Seq=1 Ack=14961 Win=260 Len=0 SLE=16321 SRE=16729,,,,,,,,,,,,,,,,,,,
29,2.495527,202.70.54.17,172.20.10.7,TCP,1414,[TCP Retransmission] 80  >  49478 [ACK] Seq=14961 Ack=1 Win=947 Len=1360,,,,,,,,,,,,,,,,,,,
30,2.495676,172.20.10.7,202.70.54.17,TCP,54,49478  >  80 [ACK] Seq=1 Ack=16729 Win=260 Len=0,,,,,,,,,,,,,,,,,,,
31,3.5207,172.20.10.7,74.125.130.138,HTTP,367,GET /edgedl/release2/chrome_component/IPe0DW--vyzNNx0NkxLNjw_32.0.0.433/AKz8Q2rhuXOOMWYXiBLhv-g HTTP/1.1 ,,,,,,,,,,,,,,,,,,,
32,3.606587,74.125.130.138,172.20.10.7,HTTP,1086,HTTP/1.1 302 Found  (text/html),,,,,,,,,,,,,,,,,,,
33,3.607479,172.20.10.7,202.70.54.17,HTTP,494,GET /edgedl/release2/chrome_component/IPe0DW--vyzNNx0NkxLNjw_32.0.0.433/AKz8Q2rhuXOOMWYXiBLhv-g?cms_redirect=yes&mh=87&mip=115.178.212.69&mm=28&mn=sn-nh5gu-jb3z&ms=nvh&mt=1601831113&mv=m&mvi=6&pl=24&shardbypass=yes HTTP/1.1 ,,,,,,,,,,,,,,,,,,,
34,3.66661,202.70.54.17,172.20.10.7,HTTP,1414,[TCP Previous segment not captured] Continuation,,,,,,,,,,,,,,,,,,,
